message,label
Your OTP for payment of Rs 1567 is 501219. Do not share this OTP with anyone.,0
Your flight ticket to Bengaluru is confirmed. PNR: PNR3689.,0
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
Your statement for card ending XX40 is now ready to view on netbanking.,0
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
Thank you for dining with us! Here is your e-receipt for Rs 2270.,0
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
Thank you for dining with us! Here is your e-receipt for Rs 3900.,0
Your OTP for payment of Rs 510 is 712554. Do not share this OTP with anyone.,0
Your electricity bill of Rs 706 is due on 25th Oct. Pay via official app.,0
"Dear customer, Rs 3154 credited to your account XX67 via NEFT from Employer Ltd.",0
Thank you for dining with us! Here is your e-receipt for Rs 3374.,0
"URGENT: Suspicious transaction of Rs 89942 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
Income Tax Refund of Rs 24757 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
"Dear customer, loan of Rs 5,00,000 pre-approved with zero interest. Click http://instant-loan-approval.xyz to disburse.",1
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
Your electricity bill of Rs 1852 is due on 25th Oct. Pay via official app.,0
Your OTP for payment of Rs 3266 is 152062. Do not share this OTP with anyone.,0
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
Income Tax Refund of Rs 38165 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
"Dear customer, your credit card points worth Rs 15996 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
"Dear customer, loan of Rs 5,00,000 pre-approved with zero interest. Click http://instant-loan-approval.xyz to disburse.",1
Your OTP for payment of Rs 2158 is 312952. Do not share this OTP with anyone.,0
"Dear Customer, your Kotak Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
"Dear customer, Rs 4826 credited to your account XX97 via NEFT from Employer Ltd.",0
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
Salary for the month has been processed and credited to your account XX26.,0
"Dear customer, loan of Rs 5,00,000 pre-approved with zero interest. Click http://instant-loan-approval.xyz to disburse.",1
"Dear customer, loan of Rs 5,00,000 pre-approved with zero interest. Click http://instant-loan-approval.xyz to disburse.",1
Your subscription to Prime has renewed. Receipt sent to your registered email.,0
Thank you for dining with us! Here is your e-receipt for Rs 111.,0
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
Salary for the month has been processed and credited to your account XX64.,0
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
Your electricity bill of Rs 2787 is due on 25th Oct. Pay via official app.,0
"URGENT: Suspicious transaction of Rs 47629 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
"URGENT: Suspicious transaction of Rs 65330 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Welcome to our service. Your order #19150 has been shipped via BlueDart.,0
"Dear Customer, your HDFC Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
Your flight ticket to Bengaluru is confirmed. PNR: PNR1241.,0
Welcome to our service. Your order #52056 has been shipped via BlueDart.,0
Income Tax Refund of Rs 80881 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
Your subscription to Prime has renewed. Receipt sent to your registered email.,0
Salary for the month has been processed and credited to your account XX67.,0
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
Welcome to our service. Your order #75410 has been shipped via BlueDart.,0
Your statement for card ending XX41 is now ready to view on netbanking.,0
Income Tax Refund of Rs 70542 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Your subscription to Prime has renewed. Receipt sent to your registered email.,0
"Dear Customer, your HDFC Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
Salary for the month has been processed and credited to your account XX98.,0
"URGENT: Suspicious transaction of Rs 60731 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
"Dear customer, Rs 304 credited to your account XX45 via NEFT from Employer Ltd.",0
Your OTP for payment of Rs 2503 is 311383. Do not share this OTP with anyone.,0
Salary for the month has been processed and credited to your account XX57.,0
"Dear customer, your credit card points worth Rs 94874 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
"URGENT: Suspicious transaction of Rs 87373 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Your electricity bill of Rs 2718 is due on 25th Oct. Pay via official app.,0
Your OTP for payment of Rs 618 is 374320. Do not share this OTP with anyone.,0
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
"Dear customer, Rs 676 credited to your account XX42 via NEFT from Employer Ltd.",0
"Dear customer, loan of Rs 5,00,000 pre-approved with zero interest. Click http://instant-loan-approval.xyz to disburse.",1
"Dear Customer, your Kotak Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
Your statement for card ending XX80 is now ready to view on netbanking.,0
Your OTP for payment of Rs 940 is 523037. Do not share this OTP with anyone.,0
Thank you for dining with us! Here is your e-receipt for Rs 2841.,0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
Your OTP for payment of Rs 2100 is 359642. Do not share this OTP with anyone.,0
"Dear Customer, your ICICI Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
"URGENT: Suspicious transaction of Rs 20017 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Your subscription to Prime has renewed. Receipt sent to your registered email.,0
Your statement for card ending XX17 is now ready to view on netbanking.,0
Thank you for dining with us! Here is your e-receipt for Rs 973.,0
"URGENT: Suspicious transaction of Rs 33931 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Your flight ticket to Bengaluru is confirmed. PNR: PNR4110.,0
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
Your subscription to Prime has renewed. Receipt sent to your registered email.,0
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
"Dear customer, your credit card points worth Rs 40204 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
"Dear Customer, your Axis Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
"URGENT: Suspicious transaction of Rs 62540 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
Thank you for dining with us! Here is your e-receipt for Rs 3802.,0
Income Tax Refund of Rs 41958 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
"Dear customer, your credit card points worth Rs 87689 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
Your electricity bill of Rs 2153 is due on 25th Oct. Pay via official app.,0
"URGENT: Suspicious transaction of Rs 47737 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Your statement for card ending XX36 is now ready to view on netbanking.,0
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
Salary for the month has been processed and credited to your account XX98.,0
"URGENT: Suspicious transaction of Rs 69643 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
"Dear Customer, your ICICI Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
"Dear Customer, your Axis Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
"URGENT: Suspicious transaction of Rs 81112 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Your flight ticket to Bengaluru is confirmed. PNR: PNR6585.,0
Your OTP for payment of Rs 3604 is 312146. Do not share this OTP with anyone.,0
Income Tax Refund of Rs 37825 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
Your statement for card ending XX58 is now ready to view on netbanking.,0
Your flight ticket to Bengaluru is confirmed. PNR: PNR9938.,0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Thank you for dining with us! Here is your e-receipt for Rs 3451.,0
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
Thank you for dining with us! Here is your e-receipt for Rs 2726.,0
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Your OTP for payment of Rs 1681 is 126596. Do not share this OTP with anyone.,0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
Your electricity bill of Rs 3846 is due on 25th Oct. Pay via official app.,0
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Salary for the month has been processed and credited to your account XX12.,0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
"Dear customer, loan of Rs 5,00,000 pre-approved with zero interest. Click http://instant-loan-approval.xyz to disburse.",1
Your electricity bill of Rs 3667 is due on 25th Oct. Pay via official app.,0
Your flight ticket to Bengaluru is confirmed. PNR: PNR4090.,0
Thank you for dining with us! Here is your e-receipt for Rs 4877.,0
"Dear customer, your credit card points worth Rs 34316 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
Your statement for card ending XX96 is now ready to view on netbanking.,0
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
Thank you for dining with us! Here is your e-receipt for Rs 1801.,0
Your OTP for payment of Rs 3908 is 786563. Do not share this OTP with anyone.,0
Income Tax Refund of Rs 90804 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
Your electricity bill of Rs 802 is due on 25th Oct. Pay via official app.,0
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
Your flight ticket to Bengaluru is confirmed. PNR: PNR2946.,0
"URGENT: Suspicious transaction of Rs 60453 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Your flight ticket to Bengaluru is confirmed. PNR: PNR3395.,0
Your flight ticket to Bengaluru is confirmed. PNR: PNR8147.,0
"Dear customer, Rs 4818 credited to your account XX27 via NEFT from Employer Ltd.",0
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
Thank you for dining with us! Here is your e-receipt for Rs 2575.,0
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
"Dear customer, loan of Rs 5,00,000 pre-approved with zero interest. Click http://instant-loan-approval.xyz to disburse.",1
Thank you for dining with us! Here is your e-receipt for Rs 4116.,0
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
Your statement for card ending XX21 is now ready to view on netbanking.,0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
"URGENT: Suspicious transaction of Rs 88303 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Your subscription to Prime has renewed. Receipt sent to your registered email.,0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
Salary for the month has been processed and credited to your account XX26.,0
Your subscription to Prime has renewed. Receipt sent to your registered email.,0
Salary for the month has been processed and credited to your account XX64.,0
Your flight ticket to Bengaluru is confirmed. PNR: PNR2011.,0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Salary for the month has been processed and credited to your account XX78.,0
"Dear customer, your credit card points worth Rs 27091 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
Your flight ticket to Bengaluru is confirmed. PNR: PNR5760.,0
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
"Dear customer, Rs 4481 credited to your account XX66 via NEFT from Employer Ltd.",0
Your electricity bill of Rs 4577 is due on 25th Oct. Pay via official app.,0
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
Salary for the month has been processed and credited to your account XX88.,0
Thank you for dining with us! Here is your e-receipt for Rs 3719.,0
Your electricity bill of Rs 834 is due on 25th Oct. Pay via official app.,0
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
Salary for the month has been processed and credited to your account XX10.,0
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
Your flight ticket to Bengaluru is confirmed. PNR: PNR3502.,0
"Dear customer, Rs 4929 credited to your account XX59 via NEFT from Employer Ltd.",0
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
"Dear customer, Rs 4044 credited to your account XX71 via NEFT from Employer Ltd.",0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
Your statement for card ending XX12 is now ready to view on netbanking.,0
"Dear customer, your credit card points worth Rs 72273 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
"URGENT: Suspicious transaction of Rs 50815 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Thank you for dining with us! Here is your e-receipt for Rs 940.,0
Thank you for dining with us! Here is your e-receipt for Rs 3139.,0
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
Your subscription to Prime has renewed. Receipt sent to your registered email.,0
Salary for the month has been processed and credited to your account XX60.,0
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
Your OTP for payment of Rs 3057 is 516869. Do not share this OTP with anyone.,0
Your statement for card ending XX74 is now ready to view on netbanking.,0
Salary for the month has been processed and credited to your account XX25.,0
"Dear customer, your credit card points worth Rs 41151 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
"Dear Customer, your ICICI Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
HDFC Alert: Your NetBanking password expired. Reset password immediately to avoid transaction block: http://hdfc-pass-reset.work,1
"URGENT: Suspicious transaction of Rs 31351 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
"URGENT: Suspicious transaction of Rs 54738 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Your electricity bill of Rs 3758 is due on 25th Oct. Pay via official app.,0
Your OTP for payment of Rs 3857 is 621800. Do not share this OTP with anyone.,0
Reminder: Doctor appointment scheduled for tomorrow at 10:00 AM.,0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
"Dear Customer, your ICICI Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
Income Tax Refund of Rs 77093 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
Welcome to our service. Your order #66603 has been shipped via BlueDart.,0
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Welcome to our service. Your order #45370 has been shipped via BlueDart.,0
Your electricity connection will be disconnected tonight at 9:30 PM. Call bill officer at 9876543210 or pay at http://elec-bill-pay.link,1
Thank you for dining with us! Here is your e-receipt for Rs 1470.,0
Your flight ticket to Bengaluru is confirmed. PNR: PNR9779.,0
Your flight ticket to Bengaluru is confirmed. PNR: PNR4070.,0
"Dear customer, loan of Rs 5,00,000 pre-approved with zero interest. Click http://instant-loan-approval.xyz to disburse.",1
Your electricity bill of Rs 683 is due on 25th Oct. Pay via official app.,0
Your electricity bill of Rs 4415 is due on 25th Oct. Pay via official app.,0
"Dear customer, Rs 3950 credited to your account XX62 via NEFT from Employer Ltd.",0
"Dear Customer, your SBI account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
"Dear customer, Rs 2139 credited to your account XX66 via NEFT from Employer Ltd.",0
Welcome to our service. Your order #72324 has been shipped via BlueDart.,0
Your flight ticket to Bengaluru is confirmed. PNR: PNR3717.,0
"Dear customer, Rs 1466 credited to your account XX33 via NEFT from Employer Ltd.",0
"Dear customer, loan of Rs 5,00,000 pre-approved with zero interest. Click http://instant-loan-approval.xyz to disburse.",1
Welcome to our service. Your order #73699 has been shipped via BlueDart.,0
"SBI Notice: Unauthorized login from Lagos. If not you, secure account immediately at http://sbi-secure-portal.monster",1
Your electricity bill of Rs 1209 is due on 25th Oct. Pay via official app.,0
Your statement for card ending XX28 is now ready to view on netbanking.,0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
"Dear customer, your credit card points worth Rs 17838 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
"Dear customer, Rs 1767 credited to your account XX62 via NEFT from Employer Ltd.",0
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
"Dear Customer, your HDFC Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Salary for the month has been processed and credited to your account XX11.,0
Income Tax Refund of Rs 68026 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Thank you for dining with us! Here is your e-receipt for Rs 2207.,0
Welcome to our service. Your order #47914 has been shipped via BlueDart.,0
Salary for the month has been processed and credited to your account XX65.,0
Salary for the month has been processed and credited to your account XX99.,0
"Dear Customer, your HDFC Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
"Dear Customer, your Kotak Bank account is suspended today due to pending KYC. Click http://bit.ly/bank-kyc-verify to update PAN immediately or account will be blocked.",1
Your subscription to Prime has renewed. Receipt sent to your registered email.,0
"Dear customer, Rs 880 credited to your account XX17 via NEFT from Employer Ltd.",0
Income Tax Refund of Rs 89133 approved. Update bank account details now at http://192.168.1.10/refund/login to receive funds.,1
"URGENT: Suspicious transaction of Rs 70796 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
Thank you for dining with us! Here is your e-receipt for Rs 446.,0
Your statement for card ending XX43 is now ready to view on netbanking.,0
Your electricity bill of Rs 2559 is due on 25th Oct. Pay via official app.,0
Your statement for card ending XX63 is now ready to view on netbanking.,0
"URGENT: Suspicious transaction of Rs 91881 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
"URGENT: Suspicious transaction of Rs 59342 detected on your account. If not you, cancel immediately at http://secure-bank-cancel-auth.xyz",1
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
Your electricity bill of Rs 2751 is due on 25th Oct. Pay via official app.,0
"Congratulations! You won Rs 50,00,000 lottery from KBC / RBI. Claim your reward immediately by clicking http://claim-prize-bonus.top",1
"Dear customer, your credit card points worth Rs 85464 are expiring today. Redeem for cash voucher now: http://reward-redeem-bank.click",1
"Dear user, your SIM card will be deactivated in 24 hours. Update Aadhaar details urgently: http://sim-kyc-verify-portal.club",1
Welcome to our service. Your order #31926 has been shipped via BlueDart.,0
